公司代號,公司簡稱,產業排位,2026實力指標,族群細分類 - 規格與應用導向,關鍵技術 / 產能指標 / 報價變量
1303,南亞,全球電路板環氧樹脂與電子材料龍頭,銅箔基板 (CCL) 與電子級玻璃纖維布全球產能領先。Q布 (AI伺服器)、T布 (載板超薄布)。與日東紡代工合作，AI 高階布產能全球前三。,電子材料 / AI高階玻纖布 / CCL,掌握 Q布 (極低損耗) 與 T布 (IC載板) 關鍵技術，為 Nvidia AI 伺服器全球前三大供應商。
1304,台聚,,,LDPE 聚乙烯 / EVA 乙烯-醋酸乙烯酯,光伏級 EVA (封裝材料) 醋酸含量比、高壓聚合製程
1305,華夏,,,PVC 供應鏈一條龍 / 建材膠片,VCM 自給率、膠布/膠皮加工、全球營建管材需求
1307,三芳,全球鞋用合成皮龍頭,全球市佔率超過 40%，Nike/Adidas 核心供應商。,人工皮革 / 透氣超細纖維 / 運動鞋材,濕式 PU 合成技術、超纖皮規格、耐磨與透氣指標
1308,亞聚,,,LDPE 聚乙烯 / EVA 塗覆級與發泡級,太陽能封裝材料、發泡級 EVA (鞋材原料) 報價
1309,台達化,,,ABS 樹脂 / GPS / EPS 發泡聚苯乙烯,丁二烯 (BD) 與苯乙烯 (SM) 利差、電子外殼規格
1310,台苯,,,SM 苯乙烯單體 / 乙苯反應,苯與乙烯觸媒裂解、SM 現貨報價、下游 ABS/PS 稼動
1312,國喬,,,SM 苯乙烯 / ABS / 尼龍 6 樹脂,丙烯? (AN) 採購成本、尼龍聚合技術、兩岸產能彈性
1313,聯成,,,DOP 可塑劑 / PA 苯酐 / 聚酯多元醇,鄰二甲苯原料連動、環保型可塑劑規格、PVC 輔助劑
1314,中石化,,,CPL 己內醯胺 / AN 丙烯?,尼龍 6 上游原料、硫酸銨副產品、環己烷製程效率
1315,達新,,,塑膠加工 (雨衣/膠帶) / 塗層織物,PU 塗層技術、接縫高頻熱合製程、機能防護規格
1316,上曜,,,風機葉片樹脂 / 環保綠色材料,乙烯基酯樹脂、碳纖維拉擠製程、可回收熱固樹脂
1319,東陽,全球汽車 AM 塑膠件龍頭,汽車保險桿、水箱護罩 AM 市場全球市佔第一。,AM 汽車塑膠件 / OEM 電鍍件,射出成型模具精度、CAPA 認證規格、水性塗裝技術
1321,大洋,,,PVC 膠布 / 合成皮 / 建材加工,塑膠壓延技術、醫療級膠布規格、土地開發潛力
1323,永裕,,,化妝品包材 / 高精密射出 / 生物塑料,多層擠出吹瓶技術、模內裝飾 (IMD)、軟管壓印規格
1324,地球,,,膠帶加工 / 絕緣材料 / OPPS 膠帶,壓敏膠塗佈技術、電子級絕緣膠帶規格、精密分切
1325,恆大,,,不織布 / 熔噴布 (PP) / 醫療過濾,熔噴不織布靜電駐極、纖維細度規格、口罩濾材
1326,台化,全球 SM/PTA/ABS 主要生產商,全球苯乙烯 (SM) 與合成纖維原料主要供應商。,芳香族一條龍 (PX/OX/SM) / 聚碳酸酯,石化中下游垂直整合、PTA/PX 利差、工程塑膠 PC
1337,再生-KY,,,IMR 模內轉印膜 / 熱轉印技術,精密塗佈與印刷、NB 外殼裝飾規格、抗刮硬化處理
1338,廣華-KY,,,汽車內裝飾件 / 水轉印 / 射出成型,模內轉印 (IML) 技術、表面塗層處理、品牌車廠認證
1339,昭輝,,,汽車塑膠飾件 / 保險桿射出,大型塑膠射出成型、AM 市場模具與噴漆製程
1340,勝悅-KY,,,雙色雙密度底 / EVM 發泡 / 鞋材,一次射出成型技術、環保材料配方、高彈性發泡規格
1341,富林-KY,,,PVC 合成皮 / 聚氨酯加工 / 人造皮革,乾式與濕式製程、環保皮規格、沙發/車用飾材
1342,八貫,全球航太救生與醫療機能材龍頭,航太逃生滑梯與救生衣基布全球主要供應商。,TPU 機能布材 / 充氣產品 / 航太醫療,高週波焊接技術、TPU 淋膜規格、航太逃生滑梯認證
1402,遠東新,全球聚酯回收 (rPET) 龍頭,全球第二大聚酯生產商；rPET 技術全球領先。,PET 聚酯回收 (rPET) / 紡織一條龍 / 土地,固聚級酯粒、化學法/物理法回收技術、PTA 自給率
1409,新纖,,,工程塑膠 / 聚酯纖維 / 光學薄膜,PBT 工程塑膠、可生物分解纖維、光學級酯粒規格
1410,南染,,,染整加工 / 委託加工 / 土地開發,胚布染整製程、特殊色牢度要求、節能環保染料應用
1413,宏洲,,,聚酯原絲 (POY) / 加工絲 (DTY),聚酯聚合連續製程、高速紡絲技術、規格化丹尼數
1414,東和,,,棉紡 / 混紡紗 / 特種紗線,精梳棉製程、異形斷面纖維混紡、機能性混紡紗
1416,廣豐,,,資產開發 / 傳統毛巾 (縮減) / 貿易,土地資產活化價值、品牌授權、剩餘紡織貿易額
1417,嘉裕,,,成衣製造 / 品牌零售 / 軍服標案,西服量身裁剪技術、特殊機能軍服規格、零售通路權
1418,東華,,,壓克力纖維 (Acrylic) / 乾法紡絲,丙烯? (AN) 原料連動、仿羊毛感官規格、梳棉製程
1419,新紡,,,機能性布料 / 研發中心 / 土地資產,織造與染整整合、醫療級防護布、士林廠土地開發
1423,利華,,,羊毛條加工 / 精梳羊毛 / 防縮處理,羊毛洗選與精梳技術、防縮處理規格、國際羊毛報價
1432,大魯閣,,,資產管理 / 育樂設施 / 紡織轉型,土地開發、運動休閒場館營運、品牌體驗經濟
1434,福懋,,,機能布染整 / 輪胎簾布 / 聚胺纖維,織染整一體化、防彈布/耐磨布規格、輪胎簾布產線
1435,中福,,,資產管理 / 紡織貿易 (停產期),倉儲租賃收入、土地開發進度、法律與經營權變動
1436,華友聯,,,營建開發 / 紡織部門轉型,高雄/台南住宅建案開發、土地儲備、原紡織部資產
1437,勤益控,,,電子化學品 / 土地資產 / 紡織轉型,半導體用化學品代理、新莊/丹鳳土地開發租賃
1438,三地開發,,,營建開發 / 紡織轉型,土地重劃區開發、商辦與住宅專案、資產活化價值
1439,雋揚,,,羊毛紡織 / 資產開發 / 貿易,羊毛條加工、中和廠開發計畫、羊毛原料進出口
1440,南紡,,,棉紡龍頭 / 聚酯纖維 / 購物中心,越南產能佈局、混紡紗報價、南紡購物中心資產
1441,大東,,,機能紗線 / 特種纖維 / 數位印花,高端精梳紗、異形斷面功能紗、數位化研發流程
1442,名軒,,,營建開發 / 麗寶集團旗下,住宅與商辦建案、土地儲備、集團資源整合效益
1443,立益物流,,,物流倉儲 / 紡織貿易 / 土地資產,物流中心營運、楊梅廠資產價值、廢料回收貿易
1444,力麗,,,聚酯加工絲 (DTY) / 環保回收纖維,RePET 環保紗、原液染色纖維 (Eco-front)、聚合產能
1445,大宇,,,尼龍布 / 輕量化機能布 / 染整加工,尼龍與聚酯混織、超薄防風布規格、戶外運動應用
1446,宏和,,,長纖織物 / 染整 / 營建資產,醋酸纖維織物、高階禮服面料、板橋土地建案
1447,力鵬,,,尼龍 6 聚合 (CPL 下游) / 尼龍粒,全球尼龍粒主要供應商、CPL 報價連動、工程塑膠級
1449,佳和,,,高性能機能布 / 汽車內裝織物 / 羊毛精紡,N66 特種紗、碳纖維/金屬纖維複合材、智慧化生產線
1451,年興,全球牛仔布生產龍頭,全球最大牛仔布與休閒服垂直整合代工廠。,牛仔布一條龍 / 牛仔褲代工 / 靛藍染色,絲光處理、水洗加工工藝 (Washing)、環保節水染整
1452,宏益,,,聚酯加工絲 (DTY) / 細丹尼 / 高複絲,假撚製程、特殊異型斷面紗、利基型細番手規格
1453,大將,,,資產開發 / 紡織貿易 (縮減),土地開發收益、營建專案進度、傳統紡織資產活化
1454,台富,,,長纖織物 / 針織布 / 加工絲,圓編針織技術、聚酯/尼龍長纖織造、運動服飾應用
1455,集盛,,,尼龍粒 / 尼龍加工絲 / 聚酯纖維,聚合反應控制、PA6 規格、化學回收 (R-Nylon) 技術
1456,怡華,,,聚酯加工絲 (DTY) / 特種紗線,高速假撚機台、環保原液染色、客製化小量規格
1457,宜進,,,機能紗線 / 聚酯 DTY / 物流資產,複合加工技術 (ATY/DTY)、資產收租、品牌協同開發
1459,聯發,,,混紡紗線 / 精梳棉紗 / 纖維開發,短纖紡紗製程、多種纖維比例混紡、紗線強力規格
1460,宏遠,,,機能布料一條龍 / 塗層貼合 / 循環經濟,四向彈性布、高透濕防水膜貼合、Everest 研發體系
1463,強盛新,,,染整代工 (國內龍頭) / 營建開發,精密配色系統、針織/平織染整、建案完工入帳
1464,得力,,,平織機能布 / 長纖織物 / 運動休閒,越南產能擴充、UA/Uniqlo 供應鏈、高階戶外規格
1465,偉全,,,長纖織物 / 聚酯布 / 內襯材料,平織製程、噴水/噴氣織機、休閒服飾面料規格
1466,聚隆,,,尼龍長纖 / 超細纖維 / 醫療材料,熔融紡絲技術、超極細纖維加工、醫療用不織布
1467,南緯,,,成衣代工 / 智慧服飾 / 全球佈局,垂直整合一條龍、電子紡織技術、非洲/越南產能
1468,昶和,,,尼龍長織布 / 超極細纖維 / 特殊後加工,高密織造、超薄機能布規格、極細纖維手感處理
1470,大統新創,,,機能性針織布 / 染整加工 / 運動服飾,高彈力纖維編織、特殊染整工藝、品牌認證規格
1471,首利,,,電源供應器 / 機殼 (轉型中),沖壓件製程、電源轉換效率、電子組裝代工 (非紡織)
1472,三洋實業,,,PP 纖維 / 三洋維士比集團 / 資產活化,三洋啡 (聚丙烯) 纖維、低比重疏水規格、資產價值
1473,台南,,,高端羽絨服 / 特種填充 / 運動外殼,羽絨充填專利、超薄針織貼合技術、冬季服飾訂單週期
1474,弘裕,,,工業用布 / 醫療織物 / 胚布生產,輪胎簾布、防彈布、醫療用高等級防護衣規格
1475,業旺,,,紡織貿易 / 加工絲轉手,貿易鏈調度、特定纖維規格媒合、營運轉型評估
1476,儒鴻,全球機能成衣代工龍頭,彈性機能織物技術全球第一，Nike/Lululemon 核心夥伴。,機能性針織布 / 成衣一條龍 / 垂直整合,高階針織技術 (含布料開發)、Lululemon 供應鏈、彈性複合材
1477,聚陽,全球成衣代工前五 / 台灣前二,僅次於儒鴻，為全球快時尚與機能服核心代工廠。,成衣代工 / 全球生產基地佈局 / 快時尚,跨國產線調度、自動化裁剪、Gap/Target/FastRetailing
1503,士電,台灣重電與變壓器龍頭,台灣電力系統外銷 (北美) 排位第一，充電樁佈局領先。,重電設備 / 電力變壓器 / 綠能 EPC,345KV 以上超高壓變壓器、充電樁系統、電網強韌計畫
1504,東元,全球工業馬達前五 / 台灣第一,全球工業用大馬達市佔前五、台灣商用空調龍頭。,重電馬達 / 自動化系統 / 高效能馬達,IE3/IE4/IE5 高效馬達、風電配套系統、變頻器開發
1506,正道,,,活塞製造 / 鋁合金鑄造 / 汽車連桿,高強度鋁合金鑄造、活塞環槽加工、精密鍛造製程
1512,瑞利,,,汽車鈑金件 / 沖壓模具 / 大型沖壓,自動化連續沖壓、模具設計開發、車身結構強度規格
1513,中興電,台灣 GIS (氣體絕緣開關) 龍頭,台灣高壓 GIS 設備市佔第一，氫能與儲能排位領先。,GIS 高壓氣體絕緣開關 / 氫能 / 綠能,345kV/161kV GIS 設備、甲醇重組製氫、iCharging
1514,亞力,,,配電盤 / 變壓器 / 軌道電力系統,電力電子變換、台電強韌電網標案、半導體廠配電
1515,力山,,,電動工具 / 健身器材 / 電機整合,大功率馬達驅動、Peloton 代工產能、木工機械研發
1516,川飛,,,傳動系統 / 貿易資產 / 轉型投資,齒輪傳動組件、貿易物流調度、企業投資收益
1517,利奇,,,自行車零件 / 鋁合金精密加工 / 剎車系統,冷熱鍛造技術、鋁合金陽極處理、高階剎車卡鉗規格
1519,華城,台灣高規變壓器外銷龍頭,500kV 以上超高壓變壓器外銷北美排位第一。,電力變壓器 (超高壓) / 充電樁 / 外銷,500kV 級變壓器外銷、E-Value 充電營運、離岸風電
1521,大億,,,汽車傳動零件 / 精密齒輪 / 差速器,齒輪切削精度、熱處理硬度規格、車用傳動軸代工
1522,堤維西,全球汽車 AM 車燈前二,全球最大車燈生產商之一，AM 市場排位僅次於帝寶。,車用燈具 (AM) / 模具開發 / 光學設計,自由曲面反射技術、LED 散熱模組、SAE/DOT 認證
1524,耿鼎,台灣汽車 AM 鈑金龍頭,台灣最大汽車鈑金零件出口商。,汽車鈑金 (AM) / 模具製造 / 防鏽處理,黑色電著塗裝 (EDP)、高張力鋼板沖壓、CAPA 規格
1525,江申,,,車架製造 / 貨車底盤 / 轉投資中和,大型沖壓線 (3000噸級)、電著噴漆、電動巴士底盤
1526,日馳,,,自行車傳動系統 / 變速器 / 齒輪盤,精密冷鍛、內變速技術、變速手把機構組裝
1527,鑽全,,,氣動釘槍 / 鎂合金壓鑄 / 手工具,鋁/鎂合金壓鑄、氣缸精密珩磨、專業級釘槍規格
1528,恩德,,,CNC 工具機 / 木工機械 / 雷射切割,五軸加工中心、PCB 鑽孔機、複合材料加工技術
1529,樂事綠能,,,變壓器 / 太陽能 EPC / 監測系統,亭置式變壓器、電網監控、智慧配電盤規格
1530,亞崴,,,龍門加工中心機 / 大型 CNC / 切削技術,高剛性龍門架構、主軸溫控技術、航太/模具應用
1531,高林股,,,工業用縫紉機 / 針車組裝 / 精密機械,針桿驅動技術、自動化縫製單元、針織/平織專用機
1532,勤美,亞洲最大民生金屬鑄造廠,汽車及工機電精密鑄件排位亞洲領先。,金屬成型 (鑄造) / 建築開發 / 生活風格,高品質鑄鐵、車用剎車盤/支架、建案完工認證
1533,車王電,,,車用電子 / 電動巴士 (華德動能) / BMS,電機/電控/電池三電整合、主動式電池平衡技術
1535,中宇,,,散熱風扇 / 車用電子 / 家電代工,汽車座椅通風系統、高效能無刷馬達、散熱模組
1536,和大,全球汽車減速齒輪龍頭,全球最大電動車 (Tesla) 減速齒輪供應商。,汽車齒輪 / 傳動軸 / 減速機 (EV),特斯拉供應鏈、高精度磨齒技術、EV 減速機齒輪
1537,廣隆,,,鉛蓄電池 / UPS 電池 / 越南產能,鉛鈣合金配方、密閉式免維護技術、國際鉛價連動
1538,正峰,,,電動工具 / 園藝機械 / 轉投資,手持式電機設備、鋰電池包裝整合、生產成本管理
1539,巨庭,,,木工機械 / 圓鋸機 / 刨木機,鋁壓鑄件加工、電動工具組裝、北美 DIY 市場需求
1540,喬福,,,大型 CNC 車床 / 磨床 / 工業 4.0,高精密滾珠螺桿應用、客製化工具機、重型機械規格
1541,錩泰,,,電動工具 / 斜斷鋸 / 專業級木工,鋁壓鑄件加工、直流馬達驅動控制、北美專業通路 (Home Depot)
1558,伸興,全球家用縫紉機 ODM 龍頭,全球市佔第一，全球每三台縫紉機就有一台由其生產。,家用縫紉機 (ODM) / 刺繡機 / 機械整合,精密壓鑄、擺梭機構研發、全球市佔率 (Singer 供應商)
1560,中砂,全球再生晶圓與鑽石碟前三,台積電先進製程鑽石碟核心供應商，技術排位全球領先。,半導體設備 / 封裝測試設備 / 自動化,封裝模具精度、IC 載板處理設備、半導體資本支出
1563,巧新,全球高階鍛造輪圈龍頭,全球最大超跑與豪華車雲端鍛造輪圈供應商。,鍛造鋁圈 (高端) / 航太鍛件 / 超跑,淨形鍛造技術、輕量化強度規格、全球超跑供應鏈
1568,倉佑,,,自動變速箱組件 / 扭力轉換器 / 離合器,沖壓/焊接/熱處理整合、變速箱油路板、EV 傳動件
1582,信錦,全球監視器底座與軸承龍頭,全球市佔第一，顯示器支架排位絕對領先。,樞紐 (Hinge) / 監視器底座 / 壓鑄組件,高壽命樞紐機構、鋅鋁合金壓鑄、NB/顯示器軸承規格
1583,程泰,,,CNC 車床 / 走心式/走刀式加工機,主軸自製技術、五軸連動加工、航太/能源/汽車應用
1587,吉茂,,,汽車冷卻系統 (AM) / 水箱 / 冷凝器,鋁製水箱銲接技術、模具開發週期、PA66 塑膠水箱蓋
1589,永冠-KY,,,球狀石墨鑄鐵 / 風電鑄件 / 能源零件,超大型鑄件 (10MW 以上)、離岸風電輪轂、注塑機底座
1590,亞德客-KY,全球線性滑軌與氣動前二,亞洲氣動元件市佔排位第一，直逼全球龍頭 SMC。,氣動元件 / 線性導軌 / 滑塊,精密氣缸、線性傳動精度、自動化產線稼動率 (中國市場)
1597,直得,,,微型線性導軌 / 直線馬達 / 工業機器人,c級精度規格、微米級加工、半導體與醫療設備應用
1598,岱宇,,,健身器材 / 電動跑步機 / 醫療復健,直流驅動控制、心率感測整合、家用/商用健身設備
1603,華電,,,電線電纜 / 鋁導線 / 電力統包,161kV 特高壓電纜、鋁製輸電線、台電配電標案
1604,聲寶,,,家電製造 / 壓縮機應用 / 土地資產,變頻空調控制、冰箱發泡技術、林口廠資產開發
1605,華新,台灣電線電纜龍頭 / 全球不鏽鋼長材前三,全球最大不鏽鋼長材生產商之一、台灣電力線纜霸主。,電線電纜 / 不鏽鋼 / 冰鎳 (鎳生鐵),345kV 電纜、印尼冰鎳產能、LME 銅/鎳價利差
1608,華榮,,,電線電纜 / 無氧銅杆 / 漆包線,SCR 連續鑄軋、特高壓交連 PE 電纜、銅材加工費
1609,大亞,台灣特高壓線纜與漆包線龍頭,台灣太陽能與儲能佈局最廣的電線電纜廠。,電線電纜 / 漆包線 / 太陽能 EPC,漆包線熱穩定規格、儲能系統、台南綠能案場投資
1611,中電,,,照明設備 / LED 燈管 / 土地資產,燈管真空灌裝、LED 封裝應用、資產收租價值
1612,宏泰,,,電線電纜 / 通訊電纜 / 銅材,特高壓 XLPE 電纜技術、阻燃電纜規格、銅報價變動
1614,三洋電,,,家電製造 / 洗衣機 / 轉投資房產,離心力洗淨技術、泰山廠重劃區價值、通路售後體系
1615,大山,,,電線電纜 / 電力電纜 / 建築用線,低煙無鹵電纜、營建業電力系統配套、台電標案
1616,億泰,,,電線電纜 / 光纖電纜 / 越南佈局,光纖抽絲技術、耐火/耐候電纜規格、東南亞電網基建
1617,榮星,,,漆包線 (高精細) / 平角線 / 車用線,200度C 以上耐熱級、電動車電機繞線、電子級精密線材
1618,合機,,,電線電纜 / 漆包線 / 配電統包,特高壓地下電纜、輸配電系統設計、銅材庫存管理
1623,大東電,,,線性傳動 / 精密模具 / 傳動元件,高精密滾珠螺桿、模組化傳動系統、工具機配套
1626,艾美特-KY,,,夏季電扇 / 電暖器 / 馬達應用,DC 變頻馬達技術、模具精密射出、中國家電內需
1702,南僑,台灣烘焙油脂龍頭,兩岸高階烘焙油脂與冷凍麵團市佔第一。,油脂加工 (烘焙級) / 稻米加工 / 麵食,急速冷凍熟麵技術、特種油脂乳化規格、泰國產能擴充
1707,葡萄王,台灣保健食品生產龍頭,擁有全台最大發酵產能，靈芝與益生菌市佔第一。,生物發酵技術 / 益生菌 / 靈芝菌絲體,液態發酵產能 (噸級)、菌種去氧技術、液態萃取規格
1708,東鹼,,,硫酸鉀 (SOP) / 散裝航運 / 純鹼貿易,曼海姆製程 (Mannheim)、副產品鹽酸處理、氯價連動
1709,和益,,,烷基苯 (LAB) / 壬酚 (NP) / 氫化樹脂,洗劑上游原料、烷基化反應控制、氫化製程技術
1710,東聯,,,乙二醇 (EG) / 特殊化學品 (EA) / 氣體,環氧乙烷 (EO) 衍生物、半導體級 CO2、乙烯利差
1711,永光,,,色料化學 / 光阻劑 / 醫藥中間體,數位印花墨水、I-Line/KrF 光阻、前列腺素 API 合成
1712,興農,,,植物保護 (農藥) / 除草劑 / 複合肥料,嘉磷塞 (Glyphosate) 合成、農藥劑型開發、巴西市場
1713,國化,,,(已於前批整理，此處略過),
1714,和桐,,,烷基苯 (LAB) / 磺化酸 / 界面活性劑,兩岸 LAB 產能規模、LAS 磺化技術、洗滌原料報價
1717,長興,全球乾膜阻劑龍頭 / 全球前三樹脂廠,全球市佔第一 的 PCB 乾膜阻劑供應商。,合成樹脂 / PCB 乾膜光阻 / 電子材料,全球乾膜光阻龍頭、UV 感光樹脂、封裝封止料
1718,中纖,,,乙二醇 (EG) / 聚酯纖維 / 土地開發,氧氯化製程、下游聚酯加工絲整合、EG 現貨報價
1720,生達,,,學名藥製造 / 垂直整合 (API) / 劑型研發,控釋劑型 (CR/SR)、FDA/PIC/S GMP 認證、三高用藥
1721,三晃,,,特種化學品 / 石墨烯應用 / 表面處理,氧化石墨烯還原技術、交聯劑規格、農藥中間體
1722,台肥,台灣肥料與液氨進口龍頭,台灣最大肥料供應商，轉型為氫能與低碳氨領導者。,肥料生產 / 尿素 / 土地資產活化,液氨進口成本、朱拜爾 (朱肥) 投資收益、南港資產
1723,中碳,全球最大煤焦油加工廠之一,台灣唯一煤化工廠，負極材料關鍵炭材排位前三。,煤焦油精餾 / 針狀焦 / 負極材料,軟瀝青加工、鋰電池碳微球 (MCMB)、油價與煤價差
1725,元禎,,,化學品分裝貿易 / 溶劑 / 塑膠原料,化學倉儲與槽車隊、溶劑精餾技術、台塑/長春代理
1726,永記,台灣塗料龍頭 (虹牌油漆),台灣市佔第一，跨足半導體與重防蝕塗料規格。,塗料 (虹牌) / 重防蝕 / 船舶漆,樹脂合成技術、防污漆規格、公共工程與造船需求
1727,中華化,,,原料藥 (API) / 發酵合成 / 免疫抑制劑,魚油 EPA 提純、生物發酵與化學合成整合、USP 規格
1730,花仙子,,,家居化學品 / 除濕消臭 / 品牌行銷,界面活性劑配方、香氛緩釋技術、通路覆蓋率
1731,美吾華,,,染髮劑 (品牌) / 醫藥發行 / 數位健康,植萃染髮配方、博登藥局通路、醫藥代理權
1732,毛寶,,,清潔劑 / 抗菌技術 / 家居維護,抗病毒配方研發、表面活性劑調製、防疫物資供需
1733,五鼎,,,血糖測試片 / 電化學感測 / OEM,酵素固定化技術、黃金電極印刷、ISO 13485 規格
1734,杏輝,,,學名藥 / 保健食品 / 抗癌藥物,軟膠囊劑型、天然物萃取 (天麻)、兩岸藥證佈局
1735,日勝化,,,PU 合成樹脂 / 接著劑 / 彈性體,聚酯多元醇合成、環保無溶劑 TPU、鞋材應用
1736,喬山,全球商用健身器材龍頭,全球市佔第一，商用健身器材與通路排位最高。,健身器材 (商用龍頭) / 電控整合,磁控阻力系統、雲端串流健身平台、全球維修體系
1737,臺鹽,,,食鹽精製 / 包裝水 / 美妝生技,離子交換膜電透析技術、膠原蛋白萃取、資產價值
1752,南光,,,蛋白質藥 / 針劑充填 / 藥物遞送,長效型蛋白質開發 (B-cell)、無菌充填產線、CRO
1760,寶齡富錦,,,API 原料藥 / 磷酸度 / 腎病用藥,拿百磷 (Nephroxyl) 專利、原料藥發酵合成、快篩試劑
1762,中化生,,,(重複代碼，1727已列，1762為中化之醫材/通路端),醫藥通路配銷、連鎖藥局管理、藥品代理權
1773,勝一,台灣半導體電子級溶劑龍頭,台灣最大電子級化學溶劑商，台積電核心夥伴。,電子級溶劑 / 半導體化學 / 廢溶劑回收,超高純度 (PPT 等級) 剝離劑、薄層製程溶劑、晶圓廠供應
1776,展宇,,,PU 樹脂 / 環保塗料 / 水性化學品,異氰酸酯反應控制、高固成分塗料、鞋材接著技術
1783,和康生,,,膠原蛋白 / 玻尿酸 / 組織修復,膠原蛋白交聯技術 (Cross-linking)、植入式醫材、EGO 認證
1786,科妍,,,輸液產品 / 針劑 / 醫藥流通,PP 軟袋充填技術、無菌生理食鹽水、洗腎液產能
1789,神隆,,,API 原料藥 (高活性) / 抗癌藥 / 針劑,抗腫瘤 API 隔離生產技術、多步驟有機合成、FDA 認證
